tract_id,latitude,longitude,land_surface_temp_f,tree_canopy_pct,pct_impervious_surface,median_household_income,pct_minority,pct_poverty,population_density,distance_to_park_miles
T0000,30.25911,-97.87383,86.7,38.4,42.2,62139,19.7,18.2,2511,1.82
T0001,30.33632,-97.77123,96.4,15.4,63.8,33928,37.4,27.1,2456,2.05
T0002,30.15419,-97.787,89.0,35.5,46.9,75940,52.1,21.1,2593,1.68
T0003,30.3011,-97.90789,90.7,31.5,41.1,82723,45.8,12.0,7041,1.68
T0004,30.27652,-97.66517,94.8,12.8,59.6,22517,51.9,31.9,5310,1.9
T0005,30.31001,-97.77163,90.8,23.6,37.2,30152,36.8,24.9,10157,1.85
T0006,30.31976,-97.69083,89.1,27.5,47.8,57384,84.3,16.5,14194,1.77
T0007,30.19444,-97.56122,88.5,34.8,66.4,46990,35.2,29.3,1962,2.38
T0008,30.12064,-97.77826,93.9,23.7,50.0,53768,42.7,25.7,3798,2.91
T0009,30.20732,-97.78369,90.1,27.1,53.1,36906,22.9,18.2,1798,2.36
T0010,30.32113,-97.74051,88.8,35.7,47.6,80477,49.2,28.2,2283,1.97
T0011,30.20664,-97.67102,87.1,38.8,51.2,76880,76.1,23.1,2495,1.76
T0012,30.19448,-97.79534,86.0,24.5,32.5,55810,88.4,22.2,1931,1.75
T0013,30.10429,-97.80048,83.7,37.9,27.7,89972,62.3,26.1,1937,1.83
T0014,30.39021,-97.66542,91.5,30.1,47.8,66862,55.6,21.8,3339,1.58
T0015,30.31606,-97.71971,92.4,16.1,46.9,36802,40.7,24.4,1755,3.26
T0016,30.31159,-97.91358,85.3,33.8,57.3,63955,63.0,18.0,6035,2.06
T0017,30.32742,-97.84803,89.4,24.5,50.4,35189,34.7,27.7,2099,2.57
T0018,30.29614,-97.6299,88.9,38.7,27.8,80443,62.2,21.7,19648,1.49
T0019,30.23045,-97.71785,85.4,35.5,39.0,52973,50.3,22.7,2777,1.67
T0020,30.2369,-97.81098,80.8,34.0,27.8,49852,59.4,19.1,3802,2.21
T0021,30.21579,-97.76363,94.9,19.9,50.1,39878,79.7,24.9,1674,1.71
T0022,30.46078,-97.74894,86.6,41.7,38.9,93915,20.4,17.4,10134,1.72
T0023,30.29447,-97.69114,90.1,21.8,46.3,50537,55.3,16.3,7127,1.74
T0024,30.2129,-97.85866,90.6,23.8,59.5,44679,47.0,16.3,4351,1.82
T0025,30.28724,-97.81728,94.4,20.5,60.2,46237,59.3,26.3,1623,2.16
T0026,30.16913,-97.72816,84.3,41.1,44.4,68840,59.8,7.7,4132,1.65
T0027,30.37036,-97.75799,87.8,32.0,29.7,63860,57.9,22.4,1858,1.72
T0028,30.19711,-97.70425,90.7,28.9,51.4,65234,77.6,18.8,8755,1.95
T0029,30.29009,-97.84836,87.9,37.6,50.8,65767,84.4,27.6,5917,1.63
T0030,30.33528,-97.72143,84.0,41.9,32.5,142023,42.7,9.5,3856,1.64
T0031,30.28078,-97.66267,93.3,11.7,58.7,45121,30.5,26.9,844,2.42
T0032,30.25756,-97.71105,90.2,27.9,41.9,43023,14.1,21.8,2018,2.64
T0033,30.25086,-97.73887,91.3,21.7,68.5,37564,88.5,25.1,5501,2.01
T0034,30.24548,-97.75767,82.9,33.8,37.5,71481,25.6,24.1,7538,1.63
T0035,30.20386,-97.81679,89.9,30.3,47.2,90043,42.7,15.9,7083,1.5
T0036,30.21404,-97.75576,88.9,25.7,36.0,51468,48.3,27.8,1401,1.71
T0037,30.36837,-97.64922,88.4,33.2,45.1,37121,32.1,19.6,4363,1.73
T0038,30.24132,-97.75952,92.7,26.2,64.6,37383,47.3,26.0,6696,2.25
T0039,30.18714,-97.82118,86.0,33.6,42.8,72603,85.9,24.9,1346,1.79
T0040,30.2087,-97.78938,90.3,31.0,51.0,75695,3.6,23.2,3624,2.38
T0041,30.33803,-97.73393,88.5,29.1,47.6,69177,32.4,30.3,4291,1.59
T0042,30.30405,-97.77988,92.2,9.4,51.0,40156,35.7,20.4,3040,2.91
T0043,30.29483,-97.71118,89.0,30.2,58.5,60143,63.9,14.9,1198,1.82
T0044,30.2294,-97.70817,92.0,32.7,46.4,57097,20.6,17.2,2995,1.65
T0045,30.29587,-97.67888,84.9,19.0,33.4,59779,40.5,25.1,2992,1.6
T0046,30.19852,-97.63612,87.7,31.1,36.9,80189,32.1,21.9,3331,1.57
T0047,30.22923,-97.67033,87.1,21.6,52.1,59911,52.8,22.3,2596,2.35
T0048,30.32758,-97.82474,88.7,27.1,47.9,73535,39.7,14.6,2791,1.61
T0049,30.31994,-97.82228,86.3,27.6,36.0,55849,26.7,26.1,3555,2.1
T0050,30.17145,-97.75606,85.9,16.6,41.5,61704,70.3,15.5,4748,1.61
T0051,30.18156,-97.78609,86.8,36.1,40.4,71975,76.3,26.1,3033,1.76
T0052,30.2587,-97.84107,89.6,22.9,51.5,28121,62.0,39.9,2848,2.15
T0053,30.38809,-97.78534,84.2,22.9,39.4,46918,86.0,25.2,3848,2.36
T0054,30.09675,-97.78796,94.5,8.5,46.1,43841,31.3,26.6,1150,2.11
T0055,30.27227,-97.80375,94.4,16.4,45.9,40640,62.1,21.6,4848,1.71
T0056,30.13992,-97.77526,92.4,32.1,56.4,47867,33.8,14.2,3640,2.26
T0057,30.19925,-97.65572,89.4,26.7,44.2,106162,67.3,13.2,3729,1.35
T0058,30.22085,-97.73406,91.6,19.0,51.4,36694,52.4,19.1,6480,1.79
T0059,30.21636,-97.55226,90.1,29.1,39.4,83761,65.2,11.7,1128,2.42
T0060,30.2073,-97.73636,94.7,22.3,56.1,25405,23.4,34.6,1114,2.28
T0061,30.25058,-97.77321,92.5,20.2,44.0,46597,72.5,24.8,4291,2.13
T0062,30.20718,-97.74967,85.0,30.4,38.8,58293,84.2,23.9,3625,1.88
T0063,30.133,-97.72948,86.3,35.3,37.8,70530,4.4,19.0,4032,2.02
T0064,30.31239,-97.71518,85.0,44.3,39.4,74612,11.2,19.2,2759,1.59
T0065,30.31023,-97.58386,82.0,32.9,34.6,77420,74.6,24.5,5424,1.81
T0066,30.31745,-97.81763,91.0,26.4,51.9,46308,38.2,23.3,6371,1.84
T0067,30.12674,-97.68128,98.2,14.5,56.9,44000,46.3,26.4,4868,1.83
T0068,30.27391,-97.73338,84.7,42.0,30.7,79705,14.8,18.4,3114,1.91
T0069,30.30408,-97.87569,93.8,20.7,50.0,49708,49.3,21.3,1028,1.76
T0070,30.1675,-97.68834,92.7,15.7,52.2,30514,62.0,18.3,5776,2.13
T0071,30.25073,-97.64859,92.0,19.6,56.2,32533,76.6,15.2,7578,1.95
T0072,30.2407,-97.81857,94.1,11.4,52.7,35819,92.0,23.4,5360,3.7
T0073,30.39737,-97.75071,84.0,32.4,34.3,67760,13.0,21.1,2148,1.66
T0074,30.40396,-97.88803,84.2,33.7,38.0,57762,41.2,15.6,5455,1.63
T0075,30.11685,-97.8507,89.9,34.8,44.9,73918,55.4,19.9,6102,2.4
T0076,30.44951,-97.66616,96.9,14.1,59.1,44700,57.2,23.9,9277,3.04
T0077,30.17678,-97.78731,84.2,27.2,30.3,58183,62.6,11.2,2152,2.05
T0078,30.32845,-97.8387,89.0,36.8,47.9,71791,40.8,15.8,3178,1.55
T0079,30.32764,-97.73164,93.8,13.2,59.9,47136,35.7,25.4,5701,1.67
T0080,30.17034,-97.79179,90.0,24.2,45.0,66539,37.2,22.9,3769,1.6
T0081,30.28946,-97.78767,91.0,27.5,56.3,40221,16.8,18.4,1862,2.54
T0082,30.2414,-97.69085,91.2,25.7,45.0,46011,32.2,24.3,4669,3.07
T0083,30.29435,-97.84294,89.7,26.4,49.7,45625,50.9,28.6,5152,1.73
T0084,30.26845,-97.82243,90.4,30.6,40.7,31630,83.1,29.1,3838,1.81
T0085,30.34571,-97.73767,85.4,33.8,27.3,67450,78.8,20.4,4154,1.64
T0086,30.25603,-97.67245,91.8,27.3,58.6,43860,81.8,21.4,3117,2.46
T0087,30.23657,-97.65095,83.1,43.1,40.9,54482,31.6,19.3,8839,2.01
T0088,30.33769,-97.8032,92.3,29.6,42.4,67261,45.2,23.3,2121,1.92
T0089,30.29643,-97.67501,88.5,25.8,35.2,66233,80.1,22.0,2560,1.56
T0090,30.30855,-97.81273,86.8,35.3,33.5,73088,90.5,23.4,3665,1.76
T0091,30.19683,-97.6039,85.4,28.6,48.0,51828,60.9,23.4,6169,1.9
T0092,30.16638,-97.8407,88.1,20.5,45.0,44780,23.0,27.7,1483,1.78
T0093,30.20458,-97.64372,93.8,19.9,52.3,52267,46.1,23.2,1659,1.65
T0094,30.20033,-97.80252,90.0,31.3,58.7,25354,46.4,29.9,1072,2.2
T0095,30.3129,-97.58894,87.6,20.3,57.0,28249,64.6,30.0,3713,2.17
T0096,30.32808,-97.70269,95.1,14.5,56.0,29875,79.8,21.4,1861,1.9
T0097,30.23759,-97.83128,90.5,25.9,65.7,34587,47.5,15.8,2891,2.44
T0098,30.36447,-97.79178,90.4,29.5,38.0,64854,86.8,28.9,5414,2.22
T0099,30.35948,-97.68751,91.1,19.4,52.3,36045,82.5,25.9,2478,2.25
T0100,30.26947,-97.66579,91.1,27.3,59.7,45699,83.7,14.9,4183,1.92
T0101,30.18425,-97.75566,90.6,32.8,49.8,97212,26.0,13.8,3042,3.33
T0102,30.37603,-97.74643,86.2,26.2,39.2,46151,65.7,27.3,5449,1.78
T0103,30.24512,-97.68933,82.2,45.0,41.8,75500,17.1,18.5,4842,1.77
T0104,30.26009,-97.73946,91.5,23.5,63.7,35592,28.4,22.2,2404,2.5
T0105,30.22283,-97.85348,92.6,22.9,54.0,49392,82.6,30.1,3291,2.22
T0106,30.17882,-97.81504,89.4,17.6,54.5,35330,27.1,19.5,6811,2.0
T0107,30.13251,-97.73119,86.7,21.8,48.8,46511,23.2,19.4,4610,2.03
T0108,30.30063,-97.65276,88.3,33.2,40.5,79074,76.0,20.6,1575,2.16
T0109,30.18733,-97.62072,91.8,15.0,57.4,24902,43.4,28.0,5396,2.03
T0110,30.49476,-97.68764,85.6,35.9,44.3,65873,28.6,23.6,1899,1.61
T0111,30.16311,-97.72702,87.2,18.3,47.2,60294,35.2,26.3,8497,1.69
T0112,30.14941,-97.69009,88.2,27.8,52.2,41466,79.9,25.0,6731,2.01
T0113,30.29081,-97.80334,91.6,16.1,49.0,28262,12.6,28.0,4333,1.78
T0114,30.37235,-97.76226,91.3,29.5,52.7,55964,84.4,21.0,4001,2.04
T0115,30.25517,-97.81593,93.4,16.2,74.6,42690,82.1,24.2,3212,1.72
T0116,30.29578,-97.8499,88.7,36.6,33.4,60156,45.9,22.3,5470,1.76
T0117,30.10252,-97.72332,86.4,34.3,51.3,54712,31.8,23.5,2915,2.03
T0118,30.1958,-97.73516,79.9,50.8,30.5,111391,22.0,19.5,4194,1.39
T0119,30.16411,-97.69499,96.0,15.8,54.7,48644,93.0,25.9,6144,1.94
T0120,30.0984,-97.70631,90.6,25.2,53.5,34181,26.4,25.1,2599,3.96
T0121,30.25936,-97.73059,87.8,30.6,54.0,58728,20.2,17.9,2516,1.62
T0122,30.07057,-97.70547,91.6,18.9,57.1,59814,54.7,22.1,1778,1.98
T0123,30.14422,-97.75341,87.7,41.2,40.6,99871,89.8,16.9,1922,1.81
T0124,30.20702,-97.71697,90.6,36.8,52.6,78889,83.3,20.5,1216,1.93
T0125,30.1835,-97.80809,83.3,33.1,28.1,63614,25.6,32.4,5641,2.77
T0126,30.28171,-97.72042,86.2,44.0,50.8,104661,42.3,13.8,10779,1.86
T0127,30.27445,-97.69653,92.1,21.2,56.7,31731,11.4,27.3,8563,3.07
T0128,30.3215,-97.80357,87.5,31.2,60.4,40624,21.9,29.5,1372,1.97
T0129,30.31019,-97.74585,88.2,28.1,43.1,35705,57.8,25.2,5625,2.01
T0130,30.34127,-97.79989,93.4,6.7,44.1,45460,54.7,35.2,8546,3.13
T0131,30.24985,-97.79212,94.8,16.8,55.4,29158,9.0,23.6,2768,2.13
T0132,30.27428,-97.83999,90.3,31.5,44.9,72101,54.5,22.0,3869,1.66
T0133,30.29092,-97.64874,91.5,14.5,52.2,49021,26.1,19.1,1091,2.24
T0134,30.26133,-97.66475,92.6,18.8,63.2,27949,23.4,23.9,4273,2.17
T0135,30.21822,-97.70701,89.0,27.8,39.0,34303,49.4,26.1,1923,2.25
T0136,30.2234,-97.59222,89.7,22.8,54.9,62385,41.5,25.7,4104,1.95
T0137,30.1846,-97.76514,87.4,36.7,43.6,78996,90.3,21.1,1427,2.24
T0138,30.28373,-97.50746,82.2,46.5,30.4,133056,49.5,19.3,5043,1.4
T0139,30.24248,-97.7682,78.0,65.0,10.0,201036,27.0,4.4,6733,0.91
T0140,30.19695,-97.72958,84.5,39.1,50.5,65283,72.4,19.5,2276,1.66
T0141,30.19702,-97.78182,92.3,17.2,33.7,34707,47.6,38.3,1841,2.24
T0142,30.15317,-97.72021,92.2,18.7,61.2,20756,67.3,28.5,999,2.2
T0143,30.32831,-97.68315,92.9,17.7,35.4,61112,37.0,18.1,3103,2.83
T0144,30.25629,-97.75911,87.3,32.5,52.9,37578,66.2,21.0,2568,2.02
T0145,30.18098,-97.60786,89.7,27.3,49.9,44940,12.0,18.9,1436,1.8
T0146,30.31468,-97.73087,97.5,21.4,61.0,41133,62.9,28.7,4778,3.42
T0147,30.20516,-97.72836,86.2,29.1,48.2,50850,40.5,21.1,2779,2.69
T0148,30.13748,-97.82272,82.7,28.9,36.2,87526,19.3,19.1,1909,2.14
T0149,30.3317,-97.71652,89.5,35.1,44.0,58144,52.0,21.7,2610,2.54
T0150,30.20703,-97.76072,89.9,23.6,59.9,50444,15.5,26.6,6924,1.86
T0151,30.21729,-97.79866,92.2,19.0,57.5,33995,42.3,20.7,5228,1.85
T0152,30.25329,-97.81212,91.1,14.5,51.9,25499,60.4,20.6,3368,1.94
T0153,30.34141,-97.53626,91.6,19.8,49.3,43528,75.5,24.9,5279,2.59
T0154,30.2516,-97.77108,84.5,30.4,36.6,52881,63.3,25.6,1814,2.25
T0155,30.15407,-97.86656,82.3,49.4,37.9,120039,31.3,16.2,3712,1.29
T0156,30.29351,-97.80586,87.1,31.7,34.1,57447,42.4,18.0,3977,2.08
T0157,30.2112,-97.75413,84.8,36.3,48.4,84308,11.9,22.3,2747,1.6
T0158,30.40103,-97.70627,88.4,26.3,52.2,43274,43.8,20.1,4728,3.04
T0159,30.24991,-97.70562,93.9,17.0,72.8,31786,49.5,22.6,2280,2.38
T0160,30.0712,-97.69587,84.0,33.9,44.2,35091,82.7,20.1,4944,2.18
T0161,30.27859,-97.80159,91.9,12.4,51.3,39091,47.9,30.8,5070,2.02
T0162,30.40557,-97.72276,80.9,62.2,44.6,141183,28.4,15.2,633,1.24
T0163,30.37607,-97.82008,89.9,29.5,62.0,37436,60.0,27.5,7437,2.22
T0164,30.39648,-97.79957,86.3,29.6,38.0,79009,41.4,25.7,585,1.81
T0165,30.16842,-97.82342,88.3,34.3,54.5,36087,66.8,38.7,2516,2.47
T0166,30.32297,-97.84507,83.9,41.7,42.8,82389,43.1,10.6,6736,1.64
T0167,30.19224,-97.66486,88.7,35.8,48.9,64423,51.0,17.6,3010,2.02
T0168,30.26794,-97.69491,91.8,25.7,44.1,50489,41.4,19.8,1511,1.69
T0169,30.14816,-97.67187,88.4,25.1,48.4,53192,50.1,18.4,1889,1.72
T0170,30.19844,-97.74685,90.5,21.0,39.0,40350,45.3,18.8,6742,1.79
T0171,30.1959,-97.68786,87.0,32.9,47.4,66220,63.6,19.5,1150,1.74
T0172,30.32188,-97.8909,90.0,31.9,54.6,44146,15.3,17.6,7168,2.51
T0173,30.31406,-97.68095,94.5,20.4,52.0,31209,45.1,26.9,3523,2.01
T0174,30.27215,-97.73583,92.0,13.6,41.0,30483,49.2,25.6,1780,2.06
